Country_x,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,ISO3,Competetiveness Rank / 141,Country / Economy,Value(0–100),Country or Territory,Freedom Status,PR,CL,Freedom Rating,Aggregate Score,GDP Rank,Country_y,2017,2018,t2w,Absolute change,Rank change,Continent,Economy,Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Minority Investors,Paying Taxes,Trading across Borders,Enforcing Contracts,Resolving Insolvency,Country_x,LawRank,GovernmentPowers,Absenceof Corruption,OpenGovernment,FundamentalRights,Orderand Security,RegulatoryEnforcement,CivilJustice,CriminalJustice,OverallScore,ScienceRank,Country_y,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName,HDI Rank (2017),Country,Freedom Rank
Spain,6.35410022735596,6.43195009231567,6.27625036239624,1.92850399017334,1.28578567504883,1.4844331741333,1.0618714094162,0.362093269824982,0.152895793318748,0.0785652622580528,ESP,23,Spain,75.3,Spain,,1,1,1.0,94,33,Spain,"38,381.0","40,371.2",2.23,"1,990.2",+2,Europe,Spain,30,86,78,48,58,73,30,34,1,23,19,Spain,21/126,0.72,0.72,0.7,0.78,0.77,0.68,0.67,0.66,0.71,12,Spain,96517,84147,79538,23259,0.82,830,Spain,Madrid,40.4,-3.683333,ES,Europe,26,Spain,98.0
Panama,6.32130002975464,6.43331718444824,6.20928287506104,2.14123010635376,1.14939904212952,1.44156181812286,0.910402655601501,0.515665113925934,0.108790814876556,0.0542851462960243,PAN,66,Panama,61.6,Panama,,1,2,1.5,84,60,Panama,"25,405.1","26,794.4",1.48,"1,389.3",0,North America,Panama,79,48,108,30,81,22,99,174,57,147,113,Panama,64/126,0.53,0.42,0.59,0.62,0.68,0.51,0.49,0.31,0.52,105,Panama,659,582,692,133,1.05,187,Panama,Panama City,8.966666666666667,-79.533333,PA,Central America,66,Panama,82.0
Brazil,6.29979991912842,6.40267038345337,6.19692945480347,2.48029398918152,1.00413811206818,1.43889820575714,0.801733672618866,0.389860838651657,0.0992254167795181,0.0856592208147049,BRA,71,Brazil,60.9,Brazil,,2,2,2.0,75,84,Brazil,"15,637.1","16,111.6",0.889,474.4,0,South America,Brazil,109,140,175,40,137,99,48,184,106,48,77,Brazil,58/126,0.56,0.45,0.62,0.55,0.65,0.52,0.55,0.35,0.53,14,Brazil,81742,74195,40512,13508,0.5,530,Brazil,Brasilia,-15.783333333333333,-47.916667,BR,South America,79,Brazil,71.0
Uruguay,6.29330015182495,6.38822460174561,6.1983757019043,2.01415395736694,1.12436819076538,1.4646829366684,0.890663802623749,0.522502303123474,0.126508742570877,0.150456562638283,URY,54,Uruguay,63.5,Uruguay,,1,1,1.0,98,65,Uruguay,"22,374.4","23,266.8",1.28,892.4,-1,South America,Uruguay,95,65,155,55,115,73,132,101,152,100,70,Uruguay,23/126,0.75,0.74,0.71,0.76,0.7,0.69,0.75,0.54,0.71,86,Uruguay,1745,1560,1060,203,0.61,179,Uruguay,Montevideo,-34.85,-56.166667000000004,UY,South America,55,Uruguay,105.0
Singapore,6.26200008392334,6.32423734664917,6.19976282119751,0.806953907012939,1.5715754032135,1.46321785449982,1.14089918136597,0.556060552597046,0.27058818936348,0.452686846256256,SGP,1,Singapore,84.8,Singapore,,4,4,4.0,51,4,Singapore,"94,104.7","98,255.4",5.42,"4,150.7",0,Asia,Singapore,2,3,8,16,21,32,7,8,45,1,27,Singapore,13/126,0.69,0.91,0.66,0.69,0.93,0.87,0.83,0.78,0.8,34,Singapore,22495,19903,23613,4794,1.05,535,Singapore,Singapore,1.2833333333333332,103.85,SG,Asia,9,Singapore,38.0
El Salvador,6.25309991836548,6.36225652694702,6.14394330978394,2.83093738555908,0.794248342514038,1.24160695075989,0.78872811794281,0.430157601833344,0.0930846557021141,0.0743784308433533,SLV,103,El Salvador,52.6,El Salvador,,2,3,2.5,67,124,El Salvador,"8,034.2","8,388.1",0.463,353.8,0,North America,El Salvador,85,147,173,97,73,22,161,62,44,109,89,El Salvador,84/126,0.47,0.4,0.51,0.52,0.63,0.49,0.51,0.29,0.48,155,El Salvador,136,130,37,4,0.27,60,El Salvador,San Salvador,13.7,-89.2,SV,Central America,121,El Salvador,62.0
Italy,6.2234001159668,6.30587387084961,6.14092636108398,1.98353052139282,1.29442405700684,1.48802018165588,1.03882539272308,0.230782434344292,0.157960996031761,0.0298578757792711,ITA,30,Italy,71.5,Italy,,1,1,1.0,89,36,Italy,"38,233.5","39,472.4",2.18,"1,238.9",0,Europe,Italy,51,67,104,37,23,112,72,118,1,111,22,Italy,28/126,0.71,0.63,0.63,0.73,0.74,0.59,0.56,0.64,0.65,8,Italy,119405,102581,106761,39371,0.89,953,Italy,Rome,41.9,12.483333,IT,Europe,28,Italy,88.0
Trinidad and Tobago,6.19189977645874,6.41621875762939,5.96758079528809,2.08145236968994,1.23055613040924,1.47666466236115,0.712853252887726,0.489426583051682,0.185256019234657,0.015650600194931,TTO,79,Trinidad and Tobago,58.3,Trinidad and Tobago,,2,2,2.0,82,47,Trinidad and Tobago,"31,293.8","32,196.7",1.78,902.9,0,North America,Trinidad and Tobago,105,76,125,41,158,60,57,166,130,174,77,Trinidad and Tobago,55/126,0.57,0.5,0.56,0.59,0.66,0.51,0.58,0.35,0.54,126,Trinidad and Tobago,429,362,137,24,0.32,93,Trinidad and Tobago,Port of Spain,10.65,-61.516667000000005,TT,North America,69,Trinidad and Tobago,77.0
Poland,6.18170022964478,6.26924610137939,6.09415435791016,2.00320959091187,1.20593559741974,1.43847978115082,0.884074628353119,0.482749462127686,0.116743952035904,0.0504945181310177,POL,37,Poland,68.9,Poland,,2,2,2.0,84,49,Poland,"29,642.2","31,647.3",1.75,"2,005.1",0,Europe,Poland,33,121,40,58,41,32,57,69,1,53,25,Poland,27/126,0.58,0.73,0.63,0.66,0.86,0.62,0.64,0.61,0.66,17,Poland,49488,45365,30444,10039,0.62,519,Poland,Warsaw,52.25,21.0,PL,Europe,33,Poland,82.0
Colombia,6.12480020523071,6.22934675216675,6.02025365829468,2.28615188598633,0.985325396060944,1.40968418121338,0.84126615524292,0.469644963741303,0.0986473187804222,0.0341278985142708,COL,57,Colombia,62.7,Colombia,,3,3,3.0,66,91,Colombia,"14,436.7","15,021.3",0.829,584.6,+1,South America,Colombia,65,100,89,80,59,3,15,146,133,177,40,Colombia,80/126,0.53,0.38,0.63,0.53,0.59,0.5,0.48,0.33,0.5,47,Colombia,12651,11498,6654,1553,0.53,261,Colombia,Bogota,4.6,-74.083333,CO,South America,90,Colombia,58.0
