Country_x,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,ISO3,Competetiveness Rank / 141,Country / Economy,Value(0–100),Country or Territory,Freedom Status,PR,CL,Freedom Rating,Aggregate Score,GDP Rank,Country_y,2017,2018,t2w,Absolute change,Rank change,Continent,Economy,Business Rank,Starting a Business,Dealing with Construction Permits,Getting Electricity,Registering Property,Getting Credit,Protecting Minority Investors,Paying Taxes,Trading across Borders,Enforcing Contracts,Resolving Insolvency,Country_x,LawRank,GovernmentPowers,Absenceof Corruption,OpenGovernment,FundamentalRights,Orderand Security,RegulatoryEnforcement,CivilJustice,CriminalJustice,OverallScore,ScienceRank,Country_y,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName,HDI Rank (2017),Country,Freedom Rank
Guinea,4.53439998626709,4.66693019866943,4.40186977386475,2.32522344589233,0.379844725131989,0.828725636005402,0.375325202941895,0.332389414310455,0.206542521715164,0.0863265469670296,GIN,122,Guinea,46.1,Guinea,,5,4,4.5,43,171,Guinea,"2,156.2","2,277.5",0.126,121.3,+2,Africa,Guinea,152,111,50,146,138,144,149,181,167,118,116,Guinea,105/126,0.39,0.28,0.39,0.52,0.75,0.43,0.41,0.31,0.44,165,Guinea,99,87,106,5,1.07,60,Guinea,Conakry,9.5,-13.7,GN,Africa,175,Guinea,28.0
Georgia,4.51910018920898,4.60277795791626,4.43542242050171,1.66207313537598,0.885868728160858,0.665650010108948,0.752379715442658,0.346122413873672,0.0431563593447208,0.163815900683403,GEO,74,Georgia,60.6,Georgia,,3,3,3.0,63,106,Georgia,"10,741.7","11,600.5",0.640,858.8,+4,Europe,Georgia,6,2,27,39,4,12,2,16,43,8,60,Georgia,41/126,0.57,0.7,0.59,0.62,0.78,0.56,0.54,0.52,0.61,79,Georgia,2112,1837,3098,359,1.47,172,Georgia,Tbilisi,41.68333333333333,44.833333,GE,Europe,70,Georgia,56.0
Kenya,4.50860023498535,4.62638568878174,4.39081478118897,1.5763156414032,0.511650919914246,0.983056306838989,0.581072628498077,0.430641025304794,0.372391879558563,0.0534948110580444,KEN,95,Kenya,54.1,Kenya,,4,4,4.0,48,153,Kenya,"3,502.1","3,694.2",0.204,192.1,+2,Africa,Kenya,61,126,128,75,122,8,11,91,112,88,57,Kenya,101/126,0.49,0.27,0.49,0.46,0.56,0.46,0.47,0.38,0.45,72,Kenya,3209,2840,2414,565,0.75,233,Kenya,Nairobi,-1.2833333333333332,36.816666999999995,KE,Africa,142,Kenya,33.0
Mauritania,4.49030017852783,4.59134340286255,4.38925695419312,2.00517535209656,0.56963461637497,1.16722166538239,0.488745421171188,0.0657752677798271,0.105584152042866,0.0881556496024132,MRT,134,Mauritania,40.9,Mauritania,,6,5,5.5,32,144,Mauritania,"4,451.7","4,563.6",0.252,111.9,-1,Africa,Mauritania,148,46,92,151,102,144,110,178,141,72,168,Mauritania,122/126,0.3,0.31,0.26,0.39,0.65,0.26,0.32,0.3,0.35,169,Mauritania,67,61,25,3,0.37,40,Mauritania,Nouakchott,18.066666666666666,-15.966667000000001,MR,Africa,159,Mauritania,20.0
Mozambique,4.46619987487793,4.64230155944824,4.29009819030762,2.05793476104736,0.203644618391991,0.985662162303925,0.390126705169678,0.493750035762787,0.197348609566689,0.137761548161507,MOZ,137,Mozambique,38.1,Mozambique,,4,4,4.0,51,187,Mozambique,"1,255.8","1,294.8",0.0715,39.0,0,Africa,Mozambique,135,174,64,100,133,161,140,125,91,167,84,Mozambique,108/126,0.45,0.37,0.37,0.42,0.62,0.38,0.46,0.34,0.43,118,Mozambique,489,425,338,81,0.69,97,Mozambique,Maputo,-25.95,32.583333,MZ,Africa,180,Mozambique,38.0
Tunisia,4.46059989929199,4.54838705062866,4.37281274795532,1.44416046142578,0.920989513397217,0.99992448091507,0.814885079860687,0.166984513401985,0.0587908625602722,0.0548724979162216,TUN,87,Tunisia,56.4,Tunisia,,2,3,2.5,69,102,Tunisia,"11,936.2","12,369.9",0.683,433.6,+2,Africa,Tunisia,80,63,77,51,87,99,83,133,101,80,67,Tunisia,61/126,0.6,0.47,0.5,0.56,0.63,0.53,0.49,0.43,0.53,51,Tunisia,8706,7790,4103,1034,0.47,174,Tunisia,Tunis,36.8,10.183333,TN,Africa,95,Tunisia,64.0
Bangladesh,4.45580005645752,4.53815078735352,4.37344932556152,1.40602970123291,0.562269628047943,0.928245067596436,0.722728550434113,0.52739155292511,0.165772661566734,0.143401637673378,BGD,105,Bangladesh,52.1,Bangladesh,,5,5,5.0,41,143,Bangladesh,"4,229.9","4,598.4",0.254,368.5,+2,Asia,Bangladesh,176,138,138,179,183,161,89,151,176,189,153,Bangladesh,112/126,0.42,0.37,0.44,0.33,0.57,0.42,0.39,0.34,0.41,60,Bangladesh,5533,5024,2922,866,0.53,183,Bangladesh,Dhaka,23.716666666666665,90.4,BD,Asia,136,Bangladesh,27.0
Congo (Kinshasa),4.41809988021851,4.54348039627075,4.29271936416626,2.3078761100769,0.0940791442990303,1.12482583522797,0.357146441936493,0.268523365259171,0.212444126605988,0.0532449707388878,COD,139,"Congo, Democratic Rep.",36.1,Democratic Republic of the Congo,,7,6,6.5,15,190,Democratic Republic of the Congo,791.6,816.5,0.0451,24.9,0,Africa,Democratic Republic of the Congo,184,62,165,174,156,144,165,180,188,178,168,Democratic Republic of the Congo,124/126,0.32,0.18,0.32,0.37,0.48,0.37,0.36,0.27,0.33,147,Democratic Republic Congo,170,155,124,9,0.73,61,Democratic Republic of the Congo,Kinshasa,-4.316666666666666,15.3,CD,Africa,176,Congo (Democratic Republic of the),2.0
Mali,4.39039993286133,4.49821710586548,4.28258275985718,2.06065464019775,0.384862124919891,1.10472011566162,0.307860970497131,0.327313154935837,0.153068467974663,0.0519408956170082,MLI,129,Mali,43.6,Mali,,4,4,4.0,44,172,Mali,"2,181.8","2,271.3",0.125,89.5,-2,Africa,Mali,145,110,109,159,141,144,149,165,92,159,97,Mali,103/126,0.48,0.31,0.43,0.54,0.56,0.54,0.43,0.28,0.45,133,Mali,311,269,301,31,0.97,94,Mali,Bamako,12.65,-8.0,ML,Africa,182,Mali,29.0
Sri Lanka,4.36590003967285,4.48963785171509,4.24216222763062,0.559325933456421,0.949410378932953,1.26486444473267,0.831414043903351,0.470386654138565,0.24393492937088,0.0465250834822655,LKA,84,Sri Lanka,57.1,Sri Lanka,,3,4,3.5,56,97,Sri Lanka,"12,862.6","13,500.4",0.745,637.9,-1,Asia,Sri Lanka,100,83,65,84,140,124,38,141,93,164,92,Sri Lanka,63/126,0.55,0.46,0.5,0.54,0.7,0.49,0.47,0.45,0.52,76,Sri Lanka,2287,2094,1382,253,0.6,162,Sri Lanka,Colombo,6.916666666666668,79.833333,LK,Asia,76,Sri Lanka,45.0
Ukraine,4.332200050354,4.42959928512573,4.23480081558228,1.00768351554871,0.820327460765839,1.39047181606293,0.73914635181427,0.177990823984146,0.186857223510742,0.00975539535284042,UKR,85,Ukraine,57.0,Ukraine,,3,4,3.5,60,118,Ukraine,"8,754.0","9,182.5",0.507,428.5,0,Europe,Ukraine,71,56,30,135,63,32,72,54,78,57,145,Ukraine,77/126,0.46,0.33,0.55,0.61,0.73,0.42,0.54,0.37,0.5,46,Ukraine,13514,12914,6080,2601,0.45,252,Ukraine,Kyiv,50.43333333333333,30.516666999999998,UA,Europe,88,Ukraine,51.0
Ukraine,4.332200050354,4.42959928512573,4.23480081558228,1.00768351554871,0.820327460765839,1.39047181606293,0.73914635181427,0.177990823984146,0.186857223510742,0.00975539535284042,UKR,85,Ukraine,57.0,Ukraine Україна (Translation),,3,4,3.5,60,118,Ukraine,"8,754.0","9,182.5",0.507,428.5,0,Europe,Ukraine,71,56,30,135,63,32,72,54,78,57,145,Ukraine,77/126,0.46,0.33,0.55,0.61,0.73,0.42,0.54,0.37,0.5,46,Ukraine,13514,12914,6080,2601,0.45,252,Ukraine,Kyiv,50.43333333333333,30.516666999999998,UA,Europe,88,Ukraine,51.0
Ethiopia,4.28579998016357,4.36537742614746,4.20622253417969,1.73141813278198,0.336415797472,1.03306651115417,0.531869947910309,0.344129174947739,0.208648547530174,0.100245296955109,ETH,126,Ethiopia,44.4,Ethiopia,,6,6,6.0,19,170,Ethiopia,"2,165.4","2,344.2",0.129,178.9,+2,Africa,Ethiopia,159,167,168,131,144,175,178,130,154,60,148,Ethiopia,118/126,0.33,0.46,0.28,0.29,0.64,0.36,0.41,0.33,0.39,69,Ethiopia,3514,3223,1863,494,0.53,136,Ethiopia,Addis Ababa,9.033333333333333,38.7,ET,Africa,173,Ethiopia,8.0
Uganda,4.18940019607544,4.3189868927002,4.05981349945068,1.67694997787476,0.332387119531631,1.06940805912018,0.44281217455864,0.355805158615112,0.252145618200302,0.0598534233868122,UGA,115,Uganda,48.9,Uganda,,6,5,5.5,36,165,Uganda,"2,367.4","2,489.7",0.137,122.3,+1,Africa,Uganda,127,164,145,175,126,73,110,87,119,71,112,Uganda,113/126,0.41,0.26,0.4,0.38,0.59,0.42,0.45,0.33,0.4,83,Uganda,1837,1601,1193,224,0.65,169,Uganda,Kampala,0.31666666666666665,32.55,UG,Africa,162,Uganda,22.0
Egypt,4.16550016403198,4.25232982635498,4.07867050170898,1.18668818473816,0.912523746490479,1.03901290893555,0.643696129322052,0.241027966141701,0.0756865590810776,0.0668280124664307,EGY,93,Egypt,54.5,Egypt,,6,6,6.0,22,99,Egypt,"12,697.6","13,373.6",0.738,675.9,0,Africa,"Egypt, Arab Rep.",120,109,68,96,125,60,72,159,171,160,101,Egypt,121/126,0.29,0.4,0.22,0.29,0.54,0.35,0.38,0.41,0.36,35,Egypt,22018,20074,13995,4257,0.64,260,Egypt,Cairo,30.05,31.25,EG,Africa,115,Egypt,12.0
Zambia,4.10659980773926,4.23199462890625,3.98120498657227,1.28035283088684,0.577597975730896,1.05808079242706,0.426377564668655,0.430528432130814,0.247114136815071,0.086555615067482,ZMB,120,Zambia,46.5,Zambia,,4,4,4.0,54,148,Zambia,"3,998.6","4,119.7",0.227,121.2,-1,Africa,Zambia,87,102,70,128,150,3,110,17,153,130,99,Zambia,92/126,0.48,0.4,0.38,0.45,0.69,0.43,0.47,0.43,0.47,107,Zambia,632,550,459,80,0.73,118,Zambia,Lusaka,-15.416666666666664,28.283333000000002,ZM,Africa,144,Zambia,43.0
India,4.01520013809204,4.06224298477173,3.96815729141235,1.1257917881012,0.75491201877594,0.764926791191101,0.587670743465424,0.497660607099533,0.199502870440483,0.0847152248024941,IND,68,India,61.4,India,,2,3,2.5,75,127,India,"7,194.0","7,795.9",0.430,601.9,0,Asia,India,77,137,52,24,166,22,7,121,80,163,108,India,68/126,0.61,0.43,0.61,0.53,0.59,0.48,0.45,0.4,0.51,5,India,171356,152110,75947,33012,0.44,570,India,New Delhi,28.6,77.2,IN,Asia,130,India,71.0
India,4.01520013809204,4.06224298477173,3.96815729141235,1.1257917881012,0.75491201877594,0.764926791191101,0.587670743465424,0.497660607099533,0.199502870440483,0.0847152248024941,IND,68,India,61.4,Indian Kashmir *,,4,4,4.0,49,127,India,"7,194.0","7,795.9",0.430,601.9,0,Asia,India,77,137,52,24,166,22,7,121,80,163,108,India,68/126,0.61,0.43,0.61,0.53,0.59,0.48,0.45,0.4,0.51,5,India,171356,152110,75947,33012,0.44,570,India,New Delhi,28.6,77.2,IN,Asia,130,India,34.0
Madagascar,3.93269991874695,4.03285026550293,3.83254981040955,1.8306303024292,0.274075627326965,0.916107058525085,0.554548025131226,0.14779369533062,0.168994516134262,0.0405129492282867,MDG,132,Madagascar,42.9,Madagascar,,3,4,3.5,56,183,Madagascar,"1,555.8","1,626.0",0.0897,70.2,+2,Africa,Madagascar,161,81,183,185,162,124,99,132,138,150,136,Madagascar,107/126,0.44,0.26,0.46,0.47,0.71,0.35,0.4,0.34,0.43,130,Madagascar,360,331,412,53,1.14,91,Madagascar,Antananarivo,-18.916666666666668,47.516667,MG,Africa,161,Madagascar,45.0
Zimbabwe,3.66319990158081,3.78033876419067,3.54606103897095,1.14910936355591,0.365784704685211,1.11399626731873,0.433069229125977,0.360839635133743,0.151060909032822,0.0892912447452545,ZWE,127,Zimbabwe,44.2,Zimbabwe,,5,5,5.0,31,168,Zimbabwe,"2,303.7","2,381.2",0.131,77.5,0,Africa,Zimbabwe,155,176,176,166,109,85,95,145,157,168,159,Zimbabwe,116/126,0.33,0.31,0.33,0.35,0.67,0.38,0.46,0.37,0.4,97,Zimbabwe,930,788,486,104,0.52,128,Zimbabwe,Harare,-17.816666666666666,31.033333000000002,ZW,Africa,156,Zimbabwe,18.0
Botswana,3.48839998245239,3.61143565177917,3.36536431312561,0.18326735496521,1.04094457626343,1.14531767368317,0.538402438163757,0.455443173646927,0.024992935359478,0.100037552416325,BWA,91,Botswana,55.5,Botswana,,3,2,2.5,72,81,Botswana,"17,020.9","17,888.0",0.987,867.1,-2,Africa,Botswana,86,157,31,133,80,85,83,51,55,134,81,Botswana,44/126,0.58,0.6,0.48,0.58,0.71,0.6,0.6,0.57,0.59,103,Botswana,706,613,397,104,0.56,98,Botswana,Gaborone,-24.63333333333333,25.9,BW,Africa,101,Botswana,67.0
Malawi,3.40980005264282,3.5254180431366,3.29418206214905,1.41261863708496,0.190973341464996,0.560136735439301,0.495386093854904,0.443425297737122,0.218095511198044,0.0891837999224663,MWI,128,Malawi,43.7,Malawi,,3,3,3.0,64,189,Malawi,"1,169.7","1,201.7",0.0663,32.1,-1,Africa,Malawi,111,153,136,169,83,8,110,134,126,145,141,Malawi,67/126,0.56,0.42,0.43,0.59,0.68,0.45,0.54,0.45,0.51,101,Malawi,801,709,514,94,0.64,135,Malawi,Lilongwe,-13.966666666666667,33.783333,MW,Africa,171,Malawi,57.0
Rwanda,3.33380007743835,3.4251880645752,3.24241209030151,0.467254638671875,0.359488189220428,0.711047768592835,0.613995850086212,0.554569780826569,0.216654509305954,0.41082575917244,RWA,100,Rwanda,52.8,Rwanda,,6,6,6.0,23,174,Rwanda,"2,084.3","2,231.0",0.123,146.7,0,Africa,Rwanda,29,51,106,68,2,3,14,35,88,78,58,Rwanda,40/126,0.6,0.6,0.57,0.52,0.84,0.57,0.63,0.55,0.61,116,Rwanda,490,433,332,50,0.68,78,Rwanda,Kigali,-1.95,30.05,RW,Africa,158,Rwanda,13.0
Tanzania,3.23070001602173,3.34713268280029,3.11426734924316,0.530644416809082,0.475853741168976,0.884855091571808,0.498772501945496,0.41715070605278,0.276293754577637,0.147166773676872,TZA,117,Tanzania,48.2,Tanzania,,4,5,4.5,45,158,Tanzania,"3,247.3","3,446.5",0.190,199.2,+1,Africa,Tanzania,144,163,150,83,146,60,131,167,183,64,117,Tanzania,91/126,0.52,0.42,0.38,0.45,0.69,0.43,0.48,0.38,0.47,87,Tanzania,1705,1526,1091,258,0.64,161,Tanzania,Dar es Salaam,-6.8,39.283333,TZ,Africa,154,Tanzania (United Republic of),31.0
